Nombre;Commande
1;"\Activité de la carte d’interface réseau physique(*)\Transitions vers faible consommation d’énergie (vie entière)"
1;"\Activité de la carte d’interface réseau physique(*)\% temps d’interruption (vie entière)"
1;"\Activité de la carte d’interface réseau physique(*)\% temps d’interruption (instantané)"
1;"\Activité de la carte d’interface réseau physique(*)\État d’alimentation du périphérique"
2;"\Activité du disque système de fichiers(*)\Octets écrits par le système de fichiers"
2;"\Activité du disque système de fichiers(*)\Octets lus par le système de fichiers"
3;"\BitLocker(*)\Sous-requêtes d'écriture/s"
3;"\BitLocker(*)\Requêtes d'écriture/s"
3;"\BitLocker(*)\Sous-requêtes de lecture/s"
3;"\BitLocker(*)\Requêtes de lecture/s"
3;"\BitLocker(*)\Taille de fractionnement d'écriture maximale"
3;"\BitLocker(*)\Taille de fractionnement d'écriture minimale"
3;"\BitLocker(*)\Taille de fractionnement de lecture maximale"
3;"\BitLocker(*)\Taille de fractionnement de lecture minimale"
4;"\Carte réseau(*)\Total des octets/s"
4;"\Carte réseau(*)\Paquets/s"
4;"\Carte réseau(*)\Paquets reçus/s"
4;"\Carte réseau(*)\Paquets envoyés/s"
4;"\Carte réseau(*)\Bande passante actuelle"
4;"\Carte réseau(*)\Octets reçus/s"
4;"\Carte réseau(*)\Paquets monodiffusion reçus/s"
4;"\Carte réseau(*)\Paquets non monodiffusion reçus/s"
4;"\Carte réseau(*)\Paquets reçus et rejetés"
4;"\Carte réseau(*)\Paquets reçus, erreurs"
4;"\Carte réseau(*)\Paquets reçus, inconnus"
4;"\Carte réseau(*)\Octets envoyés/s"
4;"\Carte réseau(*)\Paquets monodiffusion envoyés/s"
4;"\Carte réseau(*)\Paquets non monodiffusion envoyés/s"
4;"\Carte réseau(*)\Connexions TCP RSC actives"
4;"\Carte réseau(*)\Taille moyenne des paquets TCP RSC"
5;"\Client LDAP(*)\Réponses : réponses d'interrogation d'échec/s"
5;"\Client LDAP(*)\Réponses : réponses d'interrogation réussies/s"
5;"\Client LDAP(*)\Réponses : réponses en attente"
5;"\Client LDAP(*)\Réponses : temps de réponse moyen"
5;"\Client LDAP(*)\Réponses : réponses d'échec/s"
5;"\Client LDAP(*)\Réponses : réponses réussies/s"
5;"\Client LDAP(*)\Opérations : abandons/s"
5;"\Client LDAP(*)\Opérations : suppressions/s"
5;"\Client LDAP(*)\Opérations : ajouts/s"
5;"\Client LDAP(*)\Liaisons : liaisons de négociation/s"
5;"\Client LDAP(*)\Liaisons : liaisons NTLM/s"
5;"\Client LDAP(*)\Liaisons : liaisons Digest/s"
5;"\Client LDAP(*)\Liaisons : liaisons simples/s"
5;"\Client LDAP(*)\Liaisons : nombre total de liaisons/s"
5;"\Client LDAP(*)\Opérations : Modification/s"
5;"\Client LDAP(*)\Recherches : recherches de sous-arborescence/s"
5;"\Client LDAP(*)\Recherches : recherches dans le dossier parent/s"
5;"\Client LDAP(*)\Recherches : recherches de base/s"
5;"\Client LDAP(*)\Connexions : nouvelles connexions TLS/s"
5;"\Client LDAP(*)\Connexions : nouvelles connexions UDP/s"
5;"\Client LDAP(*)\Connexions : nouvelles connexions TCP/s"
5;"\Client LDAP(*)\Demandes : nouvelles demandes/s"
5;"\Client LDAP(*)\Connexions : nouvelles connexions/s"
5;"\Client LDAP(*)\Demandes : nombre de demandes"
5;"\Client LDAP(*)\Connexions : connexions ouvertes"
6;"\Disque logique(*)\% d'espace libre"
6;"\Disque logique(*)\Mégaoctets libres"
6;"\Disque logique(*)\Pourcentage du temps disque"
6;"\Disque logique(*)\Longueur moyenne de file d'attente du disque"
6;"\Disque logique(*)\Pourcentage du temps de lecture du disque"
6;"\Disque logique(*)\Longueur moyenne de file d'attente lecture disque"
6;"\Disque logique(*)\Pourcentage du temps écriture du disque"
6;"\Disque logique(*)\Longueur moyenne de file d'attente écriture disque"
6;"\Disque logique(*)\Moyenne disque s/transfert"
6;"\Disque logique(*)\Moyenne disque s/lecture"
6;"\Disque logique(*)\Moyenne disque s/écriture"
6;"\Disque logique(*)\Transferts disque/s"
6;"\Disque logique(*)\Lectures disque/s"
6;"\Disque logique(*)\Écritures disque/s"
6;"\Disque logique(*)\Moyenne disque, octets/transfert"
6;"\Disque logique(*)\Moyenne disque, octets/lecture"
6;"\Disque logique(*)\Moyenne disque, octets/écriture"
6;"\Disque logique(*)\% d'inactivité"
6;"\Disque logique(*)\E/S partagées/s"
7;"\Disque physique(*)\Pourcentage du temps disque"
7;"\Disque physique(*)\Longueur moyenne de file d'attente du disque"
7;"\Disque physique(*)\Pourcentage du temps de lecture du disque"
7;"\Disque physique(*)\Pourcentage du temps écriture du disque"
7;"\Disque physique(*)\Longueur moyenne de file d'attente écriture disque"
7;"\Disque physique(*)\Moyenne disque s/transfert"
7;"\Disque physique(*)\Moyenne disque s/lecture"
7;"\Disque physique(*)\Moyenne disque s/écriture"
7;"\Disque physique(*)\Transferts disque/s"
7;"\Disque physique(*)\Lectures disque/s"
7;"\Disque physique(*)\Écritures disque/s"
7;"\Disque physique(*)\Octets disque/s"
7;"\Disque physique(*)\Lectures disque, octets/s"
7;"\Disque physique(*)\Écritures disque, octets/s"
7;"\Disque physique(*)\Moyenne disque, octets/transfert"
7;"\Disque physique(*)\Moyenne disque, octets/lecture"
7;"\Disque physique(*)\Moyenne disque, octets/écriture"
7;"\Disque physique(*)\% d'inactivité"
7;"\Disque physique(*)\E/S partagées/s"
8;"\Fichier d'échange(*)\Pourcentage d'utilisation"
8;"\Fichier d'échange(*)\Usage maximal"
9;"\GPU Adapter Memory(*)\Shared Usage"
9;"\GPU Adapter Memory(*)\Dedicated Usage"
9;"\GPU Adapter Memory(*)\Total Committed"
10;"\GPU Engine(*)\Utilization Percentage"
10;"\GPU Engine(*)\Running Time"
11;"\GPU Local Adapter Memory(*)\Local Usage"
12;"\GPU Process Memory(*)\Shared Usage"
12;"\GPU Process Memory(*)\Dedicated Usage"
12;"\GPU Process Memory(*)\Non Local Usage"
12;"\GPU Process Memory(*)\Local Usage"
12;"\GPU Process Memory(*)\Total Committed"
13;"\ICMP\Messages/s"
13;"\ICMP\Messages reçus/s"
13;"\ICMP\Messages reçus, erreurs"
13;"\ICMP\Reçus avec destination inaccessible"
13;"\ICMP\Reçus avec temps dépassé"
13;"\ICMP\Reçus avec problème de paramètre"
13;"\ICMP\Reçus avec redirection/s"
13;"\ICMP\Reçus avec écho/s"
13;"\ICMP\Reçus avec réponse à écho/s"
13;"\ICMP\Reçus avec horodateur/s"
13;"\ICMP\Reçus avec réponse à horodateur/s"
13;"\ICMP\Reçus avec masque d'adresse"
13;"\ICMP\Reçus avec réponse à masque d'adresse"
13;"\ICMP\Messages envoyés/s"
13;"\ICMP\Messages envoyés, erreurs"
13;"\ICMP\Envoyés destination inaccessible"
13;"\ICMP\Envoyés temps dépassé"
13;"\ICMP\Envoyés problème de paramètre"
13;"\ICMP\Envoyés extinction de source"
13;"\ICMP\Envoyés avec redirection/s"
13;"\ICMP\Envoyés avec écho/s"
13;"\ICMP\Envoyés avec réponse à écho/s"
13;"\ICMP\Envoyés avec horodateur/s"
13;"\ICMP\Envoyés avec rép. à horodateur/s"
13;"\ICMP\Envoyés avec masque d'adresse"
13;"\ICMP\Envoyés avec rép. à masque d'adresse"
14;"\Indexeur de recherche(*)\Niveau de l'index principal."
14;"\Indexeur de recherche(*)\Fusions principales à ce jour"
14;"\Indexeur de recherche(*)\Fusion principale en cours"
14;"\Indexeur de recherche(*)\Niveaux de fusion virtuelle"
14;"\Indexeur de recherche(*)\Seuil des niveaux de fusion virtuelle"
14;"\Indexeur de recherche(*)\Index permanents"
14;"\Indexeur de recherche(*)\Taille de l'index"
15;"\Informations de zone thermique(*)\Température de haute précision"
15;"\Informations de zone thermique(*)\Motifs de la limitation"
15;"\Informations de zone thermique(*)\% de la limite passive"
15;"\Informations de zone thermique(*)\Température"
15;"\Informations sur le processeur(*)\Indicateurs de limite de performances"
15;"\Informations sur le processeur(*)\% de la limite de performances"
15;"\Informations sur le processeur(*)\Pourcentage de rendement privilégié"
15;"\Informations sur le processeur(*)\Pourcentage de rendement du processeur"
15;"\Informations sur le processeur(*)\Pourcentage de performances du processeur"
15;"\Informations sur le processeur(*)\Événements de sortie d'inactivité/seconde"
15;"\Informations sur le processeur(*)\Temps moyen d'inactivité"
15;"\Informations sur le processeur(*)\Interruptions d'horloge/seconde"
15;"\Informations sur le processeur(*)\Indicateurs de l'état du processeur"
15;"\Informations sur le processeur(*)\% de fréquence maximale"
15;"\Informations sur le processeur(*)\Fréquence du processeur"
15;"\Informations sur le processeur(*)\État de parcage"
15;"\Informations sur le processeur(*)\% Temps de priorité"
15;"\Informations sur le processeur(*)\C3 Transitions/s"
15;"\Informations sur le processeur(*)\C2 Transitions/s"
15;"\Informations sur le processeur(*)\C1 Transitions/s"
15;"\Informations sur le processeur(*)\% durée C3"
15;"\Informations sur le processeur(*)\% durée C2"
15;"\Informations sur le processeur(*)\% durée C1"
15;"\Informations sur le processeur(*)\% d'inactivité"
15;"\Informations sur le processeur(*)\Taux DPC"
15;"\Informations sur le processeur(*)\DPC mis en file d'attente/s"
15;"\Informations sur le processeur(*)\% temps d'interruption"
15;"\Informations sur le processeur(*)\% Temps DPC"
15;"\Informations sur le processeur(*)\Interruptions/s"
15;"\Informations sur le processeur(*)\% temps privilégié"
15;"\Informations sur le processeur(*)\% temps utilisateur"
15;"\Informations sur le processeur(*)\% temps processeur"
16;"\Interface réseau(*)\Total des octets/s"
16;"\Interface réseau(*)\Paquets/s"
16;"\Interface réseau(*)\Paquets reçus/s"
16;"\Interface réseau(*)\Paquets envoyés/s"
16;"\Interface réseau(*)\Bande passante actuelle"
16;"\Interface réseau(*)\Octets reçus/s"
16;"\Interface réseau(*)\Paquets monodiffusion reçus/s"
16;"\Interface réseau(*)\Paquets non monodiffusion reçus/s"
16;"\Interface réseau(*)\Paquets reçus et rejetés"
16;"\Interface réseau(*)\Paquets reçus, erreurs"
16;"\Interface réseau(*)\Paquets reçus, inconnus"
16;"\Interface réseau(*)\Octets envoyés/s"
16;"\Interface réseau(*)\Paquets monodiffusion envoyés/s"
16;"\Interface réseau(*)\Paquets non monodiffusion envoyés/s"
16;"\Interface réseau(*)\Paquets sortants rejetés"
16;"\Interface réseau(*)\Paquets sortants, erreurs"
16;"\Interface réseau(*)\Longueur de la file d'attente de sortie"
16;"\Interface réseau(*)\Connexions déchargées"
16;"\Interface réseau(*)\Connexions TCP RSC actives"
16;"\Interface réseau(*)\Paquets TCP RSC fusionnés/seconde"
16;"\Interface réseau(*)\Exceptions TCP RSC/seconde"
16;"\Interface réseau(*)\Taille moyenne des paquets TCP RSC"
17;"\IPv4\Datagrammes/s"
17;"\IPv4\Datagrammes reçus/s"
17;"\IPv4\Datagrammes reçus, erreurs d'en-tête"
17;"\IPv4\Datagrammes reçus, erreurs d'adresse"
17;"\IPv4\Datagrammes transmis/s"
17;"\IPv4\Datagrammes reçus, protocole inconnu"
17;"\IPv4\Datagrammes reçus et rejetés"
17;"\IPv4\Datagrammes reçus et livrés/s"
17;"\IPv4\Datagrammes envoyés/s"
17;"\IPv4\Datagrammes sortants rejetés"
17;"\IPv4\Datagrammes sortants non routés"
17;"\IPv4\Fragments reçus/s"
17;"\IPv4\Fragments réassemblés/s"
17;"\IPv4\Échecs de réassemblage"
17;"\IPv4\Datagrammes fragmentés/s"
17;"\IPv4\Échecs de fragmentation"
17;"\IPv4\Fragments créés/s"
18;"\Journal des événements\Opérations de filtre d'événement/s"
18;"\Journal des événements\Abonnements actifs"
18;"\Journal des événements\Appels ELF RPC/s"
18;"\Journal des événements\Événements/s"
18;"\Journal des événements\Appels WEVT RPC/s"
18;"\Journal des événements\Canaux activés"
19;"\Localisateur de contrôleurs de domaine (client)(*)\Indicateurs : demandes de prise en charge de KeyList requises/s"
19;"\Localisateur de contrôleurs de domaine (client)(*)\Indicateurs : demandes TryNextClosestSite/sec"
19;"\Localisateur de contrôleurs de domaine (client)(*)\Indicateurs : demandes DS requises (WS2016+)/s"
19;"\Localisateur de contrôleurs de domaine (client)(*)\Indicateurs : demandes DS requises (WS2012 R2+)/s"
19;"\Localisateur de contrôleurs de domaine (client)(*)\Indicateurs : demandes DS requises (WS2012+)/s"
19;"\Localisateur de contrôleurs de domaine (client)(*)\Indicateurs : demandes DS requises (WS2008+)/s"
19;"\Localisateur de contrôleurs de domaine (client)(*)\Indicateurs : demandes DS requises (W2K+)/s"
19;"\Localisateur de contrôleurs de domaine (client)(*)\Indicateurs : demandes de serveur de temps requises/s"
19;"\Localisateur de contrôleurs de domaine (client)(*)\Indicateurs : demandes GC requises/s"
19;"\Localisateur de contrôleurs de domaine (client)(*)\Indicateurs : demandes KDC requises/s"
19;"\Localisateur de contrôleurs de domaine (client)(*)\Requêtes de nom de site/s"
19;"\Localisateur de contrôleurs de domaine (client)(*)\Indicateurs : requêtes de la redécouverte forcées/s"
19;"\Localisateur de contrôleurs de domaine (client)(*)\Indicateurs : requêtes accessibles en écriture requises/s"
19;"\Localisateur de contrôleurs de domaine (client)(*)\Indicateurs : requêtes du contrôleur de domaine principal (PDC) requises/s"
19;"\Localisateur de contrôleurs de domaine (client)(*)\Requêtes : latence d'échec moyenne (en secondes)"
19;"\Localisateur de contrôleurs de domaine (client)(*)\Requêtes : latence moyenne de réussite (en secondes)"
19;"\Localisateur de contrôleurs de domaine (client)(*)\Requêtes : nombre total de requêtes actives"
19;"\Localisateur de contrôleurs de domaine (client)(*)\Requêtes : échecs/s"
19;"\Localisateur de contrôleurs de domaine (client)(*)\Requêtes : réussites/s"19;"\Mémoire\Défauts de page/s"
20;"\Mémoire\Octets disponibles"
20;"\Mémoire\Octets validés"
20;"\Mémoire\Limite de mémoire dédiée"
20;"\Mémoire\Copies pour écriture/s"
20;"\Mémoire\Défauts en transit/s"
20;"\Mémoire\Défauts de cache/s"
20;"\Mémoire\Défauts de page à zéro/s"
20;"\Mémoire\Pages/s"
20;"\Mémoire\Pages en entrée/s"
20;"\Mémoire\Lectures de pages/s"
20;"\Mémoire\Pages en sortie/s"
20;"\Mémoire\Octets de réserve paginée"
20;"\Mémoire\Octets de réserve non paginée"
20;"\Mémoire\Écritures de pages/s"
20;"\Mémoire\Allocations de réserve paginée"
20;"\Mémoire\Allocations de réserve non paginée"
20;"\Mémoire\Entrées libres en table des pages système"
20;"\Mémoire\Octets du cache"
20;"\Mémoire\Octets max. du cache"
20;"\Mémoire\Octets résidants de réserve paginée"
20;"\Mémoire\Total des octets dans le code système"
20;"\Mémoire\Octets résidants dans le code système"
20;"\Mémoire\Total des octets dans le pilote système"
20;"\Mémoire\Octets résidants dans le pilote système"
20;"\Mémoire\Octets résidants dans le cache système"
20;"\Mémoire\Pourcentage d'octets dédiés utilisés"
20;"\Mémoire\Kilo-octets disponibles"
20;"\Mémoire\Mégaoctets disponibles"
20;"\Mémoire\Pages de transition avec nouvel objet/s"
20;"\Mémoire\Octets des listes de pages vides et pages de zéros"
20;"\Mémoire\Octets de la liste des pages modifiées"
20;"\Mémoire\Octets de réserve du cache en attente"
20;"\Mémoire\Octets du cache en attente de priorité normale"
20;"\Mémoire\Octets de base du cache en attente"
21;"\Partages de clients SMB(*)\Demandes compressées réussies/s"
21;"\Partages de clients SMB(*)\Octets compressés envoyés/s"
21;"\Partages de clients SMB(*)\Réponses compressées/s"
21;"\Partages de serveurs SMB(*)\Tentatives de demandes compressées/s"
21;"\Partages de serveurs SMB(*)\Demandes compressées/s"
21;"\Partages de serveurs SMB(*)\Réponses compressées réussies/sec"
21;"\Partages de serveurs SMB(*)\Octets compressés/s"
21;"\Partages de serveurs SMB(*)\Octets d'écriture transmis via fichier CSV de contournement/s"
21;"\Partages de serveurs SMB(*)\Octets de lecture transmis via fichier CSV de contournement/s"
21;"\Partages de serveurs SMB(*)\Demandes de lecture transmises via fichier CSV de contournement/s"
21;"\Partages de serveurs SMB(*)\Demandes d'écriture transmises via fichier CSV de contournement/s"
21;"\Partages de serveurs SMB(*)\Nombre de fichiers ouverts de contournement actuels"
21;"\Partages de serveurs SMB(*)\Octets de lecture directs transmis via SMB/s"
21;"\Partages de serveurs SMB(*)\Demandes de lecture directes transmises via SMB/s"
21;"\Partages de serveurs SMB(*)\Octets d'écriture directs transmis via SMB/s"
21;"\Partages de serveurs SMB(*)\Demandes d'écriture directes transmises via SMB/s"
21;"\Partages de serveurs SMB(*)\Longueur de la file d'attente de données actuelle"
21;"\Partages de serveurs SMB(*)\Demandes de données/s"
21;"\Partages de serveurs SMB(*)\Octets de données/s"
21;"\Partages de serveurs SMB(*)\Longueur moyenne de la file d'attente de données"
21;"\Partages de serveurs SMB(*)\Longueur moyenne de la file d'attente d'écriture"
21;"\Partages de serveurs SMB(*)\Longueur moyenne de la file d'attente de lecture"
21;"\Partages de serveurs SMB(*)\Nombre moyen d'octets/écriture"
21;"\Partages de serveurs SMB(*)\Nombre moyen d'octets/lecture"
21;"\Partages de serveurs SMB(*)\Nombre moyen d'octets de données/demande"
21;"\Partages de serveurs SMB(*)\Durée moyenne en secondes/demande de données"
21;"\Partages de serveurs SMB(*)\Demandes de métadonnées/s"
21;"\Partages de serveurs SMB(*)\Nb total d'échecs de réouvertures de handles persistants"
21;"\Partages de serveurs SMB(*)\Nb total de réouvertures de handles persistants"
21;"\Partages de serveurs SMB(*)\% handles persistants"
21;"\Partages de serveurs SMB(*)\Nb total d'échecs de réouvertures de handles"
21;"\Partages de serveurs SMB(*)\Nb total de réouvertures résistantes de handles"
21;"\Partages de serveurs SMB(*)\% handles résistants"
21;"\Partages de serveurs SMB(*)\Nb total d'échecs de réouvertures durables de handles"
21;"\Partages de serveurs SMB(*)\Nb total de réouvertures durables de handles"
21;"\Partages de serveurs SMB(*)\Nombre de fichiers ouverts durables actuels"
21;"\Partages de serveurs SMB(*)\Fichiers ouverts/s"
21;"\Partages de serveurs SMB(*)\Nombre global des fichiers ouverts"
21;"\Partages de serveurs SMB(*)\Octets lus/s"
21;"\Partages de serveurs SMB(*)\Temps moyen en secondes/lecture"
21;"\Partages de serveurs SMB(*)\Demandes de lecture/s"
21;"\Partages de serveurs SMB(*)\Octets écrits/s"
21;"\Partages de serveurs SMB(*)\Temps moyen en secondes/écriture"
21;"\Partages de serveurs SMB(*)\Demandes d'écriture/s"
21;"\Partages de serveurs SMB(*)\Temps moyen en secondes/demande"
21;"\Partages de serveurs SMB(*)\Demandes en attente"
21;"\Partages de serveurs SMB(*)\Octets transférés/s"
21;"\Partages de serveurs SMB(*)\Octets envoyés/s"
21;"\Partages de serveurs SMB(*)\Nombre de fichiers ouverts"
21;"\Partages de serveurs SMB(*)\Nombre de connexions d'arborescence"
21;"\Partages de serveurs SMB(*)\Nb de demandes/s"
21;"\Partages de serveurs SMB(*)\Octets reçus/s"
22;"\Processeur(*)\% temps processeur"
22;"\Processeur(*)\% temps utilisateur"
22;"\Processeur(*)\% temps privilégié"
22;"\Processeur(*)\Interruptions/s"
22;"\Processeur(*)\% temps DPC"
22;"\Processeur(*)\% temps d'interruption"
22;"\Processeur(*)\DPC mis en file d'attente/s"
22;"\Processeur(*)\Taux DPC"
22;"\Processeur(*)\% d'inactivité"
22;"\Processeur(*)\% durée C1"
22;"\Processeur(*)\% durée C2"
22;"\Processeur(*)\% durée C3"
22;"\Processeur(*)\Transitions C1/s"
22;"\Processeur(*)\Transitions C2/s"
22;"\Processeur(*)\Transitions C3/s"
23;"\Serveur SMB\Octets reçus/s"
23;"\Serveur SMB\Octets envoyés/s"
23;"\Serveur SMB\Demandes d'écriture/s"
23;"\Serveur SMB\Octets écrits/s"
23;"\Serveur SMB\Demandes de lecture/s"
23;"\Serveur SMB\Octets lus/s"
24;"\Statistiques de sécurité au niveau du système\Requêtes AS d'approbation de clés KDC"
24;"\Statistiques de sécurité au niveau du système\Requêtes TGS prenant en charge les revendications du KDC"
24;"\Statistiques de sécurité au niveau du système\Requêtes TGS de délégation contrainte de type de ressource du KDC"
24;"\Statistiques de sécurité au niveau du système\Requêtes TGS de délégation contrainte de type classique du KDC"
24;"\Statistiques de sécurité au niveau du système\Requêtes TGS d'identité déclarée par un service prenant en charge les revendications du KDC"
24;"\Statistiques de sécurité au niveau du système\Requêtes AS prenant en charge les revendications du KDC"
24;"\Statistiques de sécurité au niveau du système\Requêtes TGS blindées du KDC"
24;"\Statistiques de sécurité au niveau du système\Requêtes AS blindées du KDC"
24;"\Statistiques de sécurité au niveau du système\Requêtes Kerberos transmises"
24;"\Statistiques de sécurité au niveau du système\Authentifications Digest"
24;"\Statistiques de sécurité au niveau du système\Négociations de reconnexions SSL côté serveur"
24;"\Statistiques de sécurité au niveau du système\Négociations complètes SSL côté serveur"
24;"\Statistiques de sécurité au niveau du système\Négociations de reconnexions SSL côté client"
24;"\Statistiques de sécurité au niveau du système\Négociations complètes SSL côté client"
24;"\Statistiques de sécurité au niveau du système\Entrées du cache de sessions Schannel actives"
24;"\Statistiques de sécurité au niveau du système\Entrées du cache de sessions Schannel"
24;"\Statistiques de sécurité au niveau du système\Requêtes TGS du KDC"
24;"\Statistiques de sécurité au niveau du système\Requêtes AS du KDC"
24;"\Statistiques de sécurité au niveau du système\Authentifications Kerberos"
24;"\Statistiques de sécurité au niveau du système\Authentifications NTLM"
24;"\Statistiques de sécurité par processus(*)\Handles de contexte"
24;"\Statistiques de sécurité par processus(*)\Handles d'informations d'identification"
25;"\Suivi des événements pour Windows\Utilisation totale de la mémoire --- Pool non paginé"
25;"\Suivi des événements pour Windows\Utilisation totale de la mémoire --- Pool paginé"
25;"\Suivi des événements pour Windows\Nombre total de sessions actives"
25;"\Suivi des événements pour Windows\Nombre total de fournisseurs désactivés distincts"
25;"\Suivi des événements pour Windows\Nombre total de fournisseurs préactivés distincts"
25;"\Suivi des événements pour Windows\Nombre total de fournisseurs activés distincts"
25;"\Suivi des événements pour une session Windows(*)\Nombre de consommateurs en temps réel"
25;"\Suivi des événements pour une session Windows(*)\Événements perdus"
25;"\Suivi des événements pour une session Windows(*)\Événements consignés par seconde"
25;"\Suivi des événements pour une session Windows(*)\Utilisation de la mémoire tampon -- Pool non paginé"
25;"\Suivi des événements pour une session Windows(*)\Utilisation de la mémoire tampon -- Pool paginé"
26;"\Système\Opérations de lecture de fichier/s"
26;"\Système\Opérations d'écriture de fichier/s"
26;"\Système\Opérations de contrôle de fichier/s"
26;"\Système\Octets lus sur fichier/s"
26;"\Système\Octets écrits sur fichier/s"
26;"\Système\Octets de contrôle de fichier/s"
26;"\Système\Changements de contexte/s"
26;"\Système\Appels système/s"
26;"\Système\Opérations de fichier/s"
26;"\Système\Temps d'activité système"
26;"\Système\Longueur de la file du processeur"
26;"\Système\Processus"
26;"\Système\Threads"
26;"\Système\Corrections d'alignement/s"
26;"\Système\Envois d'exception/s"
26;"\Système\Émulations flottantes/s"
26;"\Système\Pourcentage de quota du Registre utilisé"
27;"\TCPv4\Segments/s"
27;"\TCPv4\Connexions établies"
27;"\TCPv4\Connexions actives"
27;"\TCPv4\Connexions passives"
27;"\TCPv4\Échecs lors d'une connexion"
27;"\TCPv4\Connexions réinitialisées"
27;"\TCPv4\Segments reçus/s"
27;"\TCPv4\Segments envoyés/s"
27;"\TCPv4\Segments retransmis/s"